"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NAALAD2",1.6211889,5.26856795454545,16.7864958671917,1.72241460531584e-20,5.54984870093082e-20,36.2117514902692
"CBARP",1.18411012941176,5.01352586363636,16.7834897616334,1.73399666479882e-20,5.5862690880106e-20,36.204959267771
"SLC43A1",1.18554459411765,4.95186845454545,16.7666160168291,1.80049890723843e-20,5.799580979225e-20,36.1668166007207
"TYROBP",1.59022922941176,4.07124329545454,16.76441432358,1.80936594684839e-20,5.82720557030017e-20,36.161837618928
"BTBD2",1.75898248823529,3.71006263636364,16.7639652039336,1.81118018094695e-20,5.83211081574172e-20,36.1608219050757
"LOC101928985",1.54866191176471,3.90652470454545,16.7569400405661,1.83980127051933e-20,5.92332032321492e-20,36.144931391836
"KRBOX1",1.31516408235294,4.39242343181818,16.7556951845019,1.84492082334684e-20,5.93884845464952e-20,36.1421150815893
"MICOS13",1.78929596470588,4.35701959090909,16.7551486111553,1.84717322993313e-20,5.94514366035035e-20,36.1408784876716
"CMAHP",1.34035668235294,4.57849406818182,16.7506958415826,1.86562771659423e-20,6.00357500703864e-20,36.1308032068272
"LOC105376081",1.54149827058823,3.77730431818182,16.7503530295761,1.86705627154152e-20,6.00720707220041e-20,36.1300274434398
"UBE2G2",1.30151154705882,4.42977356818182,16.7489430817827,1.87294349891865e-20,6.02518133456535e-20,36.1268366902188
"DNAJC7",1.67420178235294,3.07708015909091,16.745131841478,1.88895224016611e-20,6.07570508590358e-20,36.1182107399873
"CA7",1.39840402352941,3.73112420454545,16.7441281632987,1.89319125834782e-20,6.08836206248571e-20,36.1159388797719
"SERPINB12",1.06689912941176,4.03687125,16.7435311625823,1.89571728113983e-20,6.09550699450933e-20,36.1145874999245
"MALAT1",0.932043717647059,3.57723927272727,16.7408651734361,1.90703959944541e-20,6.13092878447928e-20,36.1085522885728
"TNFRSF4",0.958433276470588,5.85525475,16.7402582704254,1.90962670750171e-20,6.13826094426738e-20,36.1071782940064
"CERS2",1.40559097058823,6.28166231818182,16.7393822211879,1.91336744654167e-20,6.14929836180373e-20,36.1051949019689
"TMSB4X",1.86259058823529,7.88245061363636,16.7355255361408,1.9299246029907e-20,6.20151582404711e-20,36.0964623747826
"LINC00645",1.73518574705882,3.13390406818182,16.7341849512409,1.93571403651831e-20,6.21912166472088e-20,36.0934265946986
"GAS1RR",1.32261627647059,4.25423588636364,16.7331726525941,1.94009747130095e-20,6.23220534719382e-20,36.0911341051023
"LINC02533",2.56437980588235,7.24042386363636,16.7315513425551,1.94713913552823e-20,6.25382253694107e-20,36.0874622102622
"FOXN4",1.08520318823529,4.64222338636364,16.731354324916,1.94799659561508e-20,6.25557354975332e-20,36.0870159925119
"IGKV1-5",1.58030205882353,9.78466520454545,16.7294499007724,1.95630490732138e-20,6.28124697923736e-20,36.0827025331001
"GNG5",1.34634959411765,3.28788052272727,16.7290136777579,1.95821307149826e-20,6.2863660654252e-20,36.0817144505528
"PRMT2",1.63496511764706,5.82416343181818,16.728041931836,1.96247059248406e-20,6.29902434043274e-20,36.079513293729
